EDGAR Country Code,Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,0.4699231283,0.4915164282,0.5150733615,0.4966883251,0.4949669176,0.5400134892,0.5190807272,0.5383347994,0.5674920297,0.5695027885,0.5887164028
AFG,Afghanistan,28.35453803,28.09308462,27.16474141,30.47459482,31.93581042,32.43616845,32.40016796,32.83584592,31.91213908,32.43510674,33.03484009
AGO,Angola,78.99761562,83.53685786,80.62550776,75.43364268,70.46511603,71.20874944,63.1592211,66.60191942,68.03523704,68.28078505,69.92293878
AIA,Anguilla,0.03129295174,0.03141766744,0.03181268103,0.03256069819,0.03168204538,0.03103668447,0.02612483301,0.02531381301,0.02515585638,0.02515758378,0.02603516641
AIR,International Aviation,513.857056,543.5960408,567.9059257,597.7333715,623.9323985,633.2170535,299.6363343,330.7484075,477.751478,578.3307365,622.3341621
ALB,Albania,8.918760743,8.763343204,8.375388727,9.194657026,9.191052349,8.66624502,7.997195285,8.496282909,7.697618551,7.26124715,7.124310567
ANT,Curaçao,5.87137757,5.936946726,5.161728945,4.161296736,3.368964813,2.610512907,2.193629598,2.333741459,2.410183353,2.404457195,2.49266539
ARE,United Arab Emirates,242.0497421,254.2072555,262.1894568,254.2672091,238.7795024,251.8938279,249.749036,255.3524567,255.5927296,254.3073207,264.1483737
ARG,Argentina,359.8127063,366.0408142,369.1827211,372.6964274,372.5105146,369.6020029,354.1582723,371.3181803,383.5353557,377.6745446,374.3446068
ARM,Armenia,8.968495659,8.896528331,8.731313057,8.935327464,9.079548444,9.560277618,10.28177647,10.90803482,11.22154529,10.72598057,10.78057528
ATG,Antigua and Barbuda,0.3477455583,0.359297342,0.3841601636,0.3461337804,0.3556909191,0.4099074724,0.3931034417,0.3990723242,0.4111953453,0.4150831118,0.4268509984
AUS,Australia,597.2002503,600.7501598,595.9681248,612.9425235,608.0656138,605.1539774,579.5474495,576.189057,571.780759,587.5131026,591.4539607
AUT,Austria,80.82063687,82.26171289,82.700769,84.85767391,81.79260823,83.13422792,76.97265622,80.07809389,76.07922329,71.59634239,70.99990351
AZE,Azerbaijan,53.09415132,52.97148842,52.69874434,52.42593985,53.13645541,55.94329638,54.33382336,56.59608685,59.23625954,60.9918237,58.27978532
BDI,Burundi,5.70384261,5.691153207,6.025865901,6.713538954,7.017279317,6.757385667,6.761679317,7.904715388,7.70986071,8.187161724,8.42172401
BEL,Belgium,122.5120316,127.1924143,126.1031205,124.0805771,124.6967165,124.3926119,115.6721225,119.5214178,111.9883824,107.2262636,107.8240202
BEN,Benin,12.94147212,13.49958376,15.17497139,15.51999176,16.93060835,17.1381175,17.66430321,16.18529233,17.05313869,17.35393984,17.76705269
BFA,Burkina Faso,27.29233295,29.00997735,29.87290024,30.99999872,32.60261532,33.77474807,30.195244,35.43688804,35.74263518,34.59211711,34.91774636
BGD,Bangladesh,168.3119659,177.4622847,186.2098142,195.4505584,200.5389583,205.7443662,202.7429038,219.3649833,222.9793559,215.833653,220.8267208
BGR,Bulgaria,60.52574395,62.7185803,60.3088917,62.56828989,59.35961311,57.79355351,52.58253794,59.17193945,62.74319686,49.66466567,46.67657436
BHR,Bahrain,58.81569808,59.0053111,59.23952844,59.07591275,59.12878887,63.03720858,63.24634666,63.50617439,64.9133503,64.90221299,64.42217709
BHS,Bahamas,1.466648092,1.453850521,1.584563249,1.721603636,1.553922765,1.806385718,1.530731471,1.815216401,1.780025752,1.789064743,1.843872618
BIH,Bosnia and Herzegovina,27.88598129,27.84637112,31.25250192,31.85224197,32.25590189,30.55297538,30.47485636,30.35171353,30.0732975,28.19944953,27.62666427
BLR,Belarus,97.4739137,92.587981,91.70338023,93.45912569,96.67753875,94.42817121,91.71811316,91.89157107,89.20303397,86.93305367,87.49136123
BLZ,Belize,0.7366097209,0.7904194346,0.8147192855,0.8562579191,0.8568755851,0.9910639677,0.9175401285,0.9422512714,0.9733959036,1.001166694,1.034684117
BMU,Bermuda,0.3007811508,0.2585776585,0.341062473,0.3140793612,0.3289912629,0.3300236088,0.2399814555,0.2707512268,0.2836849961,0.2967853965,0.3056772323
BOL,Bolivia,47.36715186,48.3840759,50.11086079,50.77290435,51.47400551,52.39566751,49.24305947,53.38562456,55.43203061,57.21283484,63.75719764
BRA,Brazil,1248.609297,1233.223204,1208.3076,1219.238859,1195.921374,1200.306041,1196.009988,1277.187041,1278.54217,1297.17075,1299.180208
